Series_Title,Genre,IMDB_Rating
Green Book,"Biography, Comedy, Drama",8.2
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",8.2
Talvar,"Crime, Drama, Mystery",8.2
Baahubali 2: The Conclusion,"Action, Drama",8.2
Klaus,"Animation, Adventure, Comedy",8.2
Drishyam,"Crime, Drama, Mystery",8.2
Queen,"Adventure, Comedy, Drama",8.2
Mandariinid,"Drama, War",8.2
Bhaag Milkha Bhaag,"Biography, Drama, Sport",8.2
Gangs of Wasseypur,"Action, Comedy, Crime",8.2
Udaan,Drama,8.2
Paan Singh Tomar,"Action, Biography, Crime",8.2
El secreto de sus ojos,"Drama, Mystery, Romance",8.2
Warrior,"Action, Drama, Sport",8.2
Shutter Island,"Mystery, Thriller",8.2
Up,"Animation, Adventure, Comedy",8.2
The Wolf of Wall Street,"Biography, Crime, Drama",8.2
Chak De! India,"Drama, Family, Sport",8.2
There Will Be Blood,Drama,8.2
Pan's Labyrinth,"Drama, Fantasy, War",8.2
Toy Story 3,"Animation, Adventure, Comedy",8.2
V for Vendetta,"Action, Drama, Sci-Fi",8.2
Rang De Basanti,"Comedy, Crime, Drama",8.2
Black,Drama,8.2
Batman Begins,"Action, Adventure",8.2
"Swades: We, the People",Drama,8.2
Der Untergang,"Biography, Drama, History",8.2
Hauru no ugoku shiro,"Animation, Adventure, Family",8.2
A Beautiful Mind,"Biography, Drama",8.2
Hera Pheri,"Action, Comedy, Crime",8.2
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",8.2
L.A. Confidential,"Crime, Drama, Mystery",8.2
Eskiya,"Crime, Drama, Thriller",8.2
Heat,"Crime, Drama, Thriller",8.2
Casino,"Crime, Drama",8.2
Andaz Apna Apna,"Action, Comedy, Romance",8.2
Unforgiven,"Drama, Western",8.2
Indiana Jones and the Last Crusade,"Action, Adventure",8.2
Dom za vesanje,"Comedy, Crime, Drama",8.2
Tonari no Totoro,"Animation, Family, Fantasy",8.2
Die Hard,"Action, Thriller",8.2
Ran,"Action, Drama, War",8.2
Raging Bull,"Biography, Drama, Sport",8.2
Stalker,"Drama, Sci-Fi",8.2
Höstsonaten,"Drama, Music",8.2
The Message,"Biography, Drama, History",8.2
Sholay,"Action, Adventure, Comedy",8.2
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",8.2
The Great Escape,"Adventure, Drama, History",8.2
To Kill a Mockingbird,"Crime, Drama",8.2
Yôjinbô,"Action, Drama, Thriller",8.2
Judgment at Nuremberg,"Drama, War",8.2
Some Like It Hot,"Comedy, Music, Romance",8.2
Smultronstället,"Drama, Romance",8.2
Det sjunde inseglet,"Drama, Fantasy, History",8.2
Du rififi chez les hommes,"Crime, Drama, Thriller",8.2
Dial M for Murder,"Crime, Thriller",8.2
Tôkyô monogatari,Drama,8.2
Rashômon,"Crime, Drama, Mystery",8.2
All About Eve,Drama,8.2
The Treasure of the Sierra Madre,"Adventure, Drama, Western",8.2
To Be or Not to Be,"Comedy, War",8.2
The Gold Rush,"Adventure, Comedy, Drama",8.2
Sherlock Jr.,"Action, Comedy, Romance",8.2
Portrait de la jeune fille en feu,"Drama, Romance",8.1
Pink,"Drama, Thriller",8.1
Koe no katachi,"Animation, Drama, Family",8.1
Contratiempo,"Crime, Drama, Mystery",8.1
Ah-ga-ssi,"Drama, Romance, Thriller",8.1
Mommy,Drama,8.1
Haider,"Action, Crime, Drama",8.1
Logan,"Action, Drama, Sci-Fi",8.1
Room,"Drama, Thriller",8.1
Relatos salvajes,"Comedy, Drama, Thriller",8.1
Soul,"Animation, Adventure, Comedy",8.1
Kis Uykusu,Drama,8.1
PK,"Comedy, Drama, Musical",8.1
OMG: Oh My God!,"Comedy, Drama, Fantasy",8.1
The Grand Budapest Hotel,"Adventure, Comedy, Crime",8.1
Gone Girl,"Drama, Mystery, Thriller",8.1
Ôkami kodomo no Ame to Yuki,"Animation, Drama, Fantasy",8.1
Hacksaw Ridge,"Biography, Drama, History",8.1
Inside Out,"Animation, Adventure, Comedy",8.1
Barfi!,"Comedy, Drama, Romance",8.1
12 Years a Slave,"Biography, Drama, History",8.1
Rush,"Action, Biography, Drama",8.1
Ford v Ferrari,"Action, Biography, Drama",8.1
Spotlight,"Biography, Crime, Drama",8.1
Song of the Sea,"Animation, Adventure, Drama",8.1
Kahaani,"Mystery, Thriller",8.1
Zindagi Na Milegi Dobara,"Comedy, Drama",8.1
Prisoners,"Crime, Drama, Mystery",8.1
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",8.1
A Wednesday,"Action, Crime, Drama",8.1
Gran Torino,Drama,8.1
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",8.1
Okuribito,"Drama, Music",8.1
Hachi: A Dog's Tale,"Biography, Drama, Family",8.1
Mary and Max,"Animation, Comedy, Drama",8.1
How to Train Your Dragon,"Animation, Action, Adventure",8.1
Into the Wild,"Adventure, Biography, Drama",8.1
No Country for Old Men,"Crime, Drama, Thriller",8.1
Lage Raho Munna Bhai,"Comedy, Drama, Romance",8.1
Million Dollar Baby,"Drama, Sport",8.1
Hotel Rwanda,"Biography, Drama, History",8.1
Taegukgi hwinalrimyeo,"Action, Drama, War",8.1
Before Sunset,"Drama, Romance",8.1
Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",8.1
Salinui chueok,"Crime, Drama, Mystery",8.1
Dil Chahta Hai,"Comedy, Drama, Romance",8.1
Kill Bill: Vol. 1,"Action, Crime, Drama",8.1
